Object ID,Name,Entity type,Name,Minimal Disambiguation,Information,Name (transliteration),Name (Greek font),Name (Latinized),Name in Latin texts,Alternative names,Alternative name for,Alternative name for - Object ID,Possibly the same as,Possibly the same as - Object ID,Possibly same as,Possibly same as - Object ID,Rationalized form of,Rationalized form of - Object ID,Rationalized form,Rationalized form - Object ID,Personification of,Personification of - Object ID,Identified with the author,Identified with the author - Object ID,Wikidata,PALP,Trismegistos,LIMC headword,Digital LIMC,Gender,Part of,Part of - Object ID
8182203,👤 Anticleia (Ithacan),Agent,Anticleia,(Ithacan),mother of Odysseus,,,,,,,,,,,,,,,,,,,,Q576170,,,,#NAME?,Female,,
8187926,👤 Cadmos,Agent,Cadmos,,king of Thebes,Kadmos,Κάδμος,Cadmus,,,,,,,,,,,,,,,,,Q27613,,https://www.trismegistos.org/name/45224,,#NAME?,Male,,
8188259,👤 Epopeus (Sicyonian),Agent,Epopeus,(Sicyonian),"Sicyonian king, abducts Antiope",,,,,,,,,,,,,,,,,,,,Q1347568,,,,#NAME?,Male,,
8188390,👤 Hera,Agent,Hera,,Olympian goddess,,,,Juno,,,,,,,,,,,,,,,,Q38012,hera,https://www.trismegistos.org/name/9428,Hera,#NAME?,Female,,
8188390,👤 Hera,Agent,Hera,,Olympian goddess,,,,Juno,,,,,,,,,,,,,,,,Q38012,hera,https://www.trismegistos.org/name/9428,Hera,GvGd9L=lQu=8nH4QVglFkwu,Female,,
8188549,👤 Hyllos (s. of Deianeira),Agent,Hyllos,(s. of Deianeira),son of Heracles and Deianeira,,,,,,,,,,,,,,,,,,,,Q847268,hyllus,https://www.trismegistos.org/name/6349,,#NAME?,Male,,
8189116,👤 Pandrosos,Agent,Pandrosos,,daughter of Cecrops,,,,,,,,,,,,,,,,,,,,Q633120,,,,#NAME?,Female,,
8189164,👥 the Hundred-Handers,Collective,the Hundred-Handers,,sons of Ouranos and Ge,Hekatoncheires,,,,Hecatoncheires,,,,,,,,,,,,,,,Q175255,,,,#NAME?,Male,,
8189249,👤 Phoinix (Dolopian),Agent,Phoinix,(Dolopian),"son of Amyntor, raises Achilles",,,,Phoenix,,,,,,,,,,,,,,,,Q1061747,,https://www.trismegistos.org/name/3298,,#NAME?,Male,,
8189859,👤 Nausicaa,Agent,Nausicaa,,daughter of Alcinoos,,,,,,,,,,,,,,,,,,,,Q135224,,https://www.trismegistos.org/name/48988,,#NAME?,Female,,
8189869,👤 Nemesis,Agent,Nemesis,,personification of retribution,,,,,Nemeseis,,,,,,,,,,,,,,,Q185747,,https://www.trismegistos.org/name/7180,,#NAME?,Female,,
8189884,👤 Nike (personification),Agent,Nike,(personification),personification of victory,,,,Victoria,Nice,,,,,,,,,,,,,,,Q165023,,https://www.trismegistos.org/name/4334,Nike,#NAME?,Female,,
8189884,👤 Nike (personification),Agent,Nike,(personification),personification of victory,,,,Victoria,Nice,,,,,,,,,,,,,,,Q165023,,https://www.trismegistos.org/name/4334,Nike,yd5q8vZtS1W6OqDSXdFKgQR,Female,,
8190024,👤 Sterope (Atlantid),Agent,Sterope,(Atlantid),"daughter of Atlas, one of the Pleiades",,,,,Asterope,,,,,,,,,,,,,,,Q748963,,https://www.trismegistos.org/name/49331,,#NAME?,Female,,
8188173,👤 Diomedes (Argive I),Agent,Diomedes,(Argive I),"son of Tydeus, leader of the Argos contingent at Troy",,,,,,,,,,,,,,,,,,,,Q208256,diomedes,https://www.trismegistos.org/name/2796,Diomedes I,wpB4FD=NQxm=kcquGQ5KhQe,Male,,
11288937,👤 Euamerion,Agent,Euamerion,,personification of recovery,,,,,,,,,,,,,,,,,,,,Q1294659,,,Telesphoros,haKWTQVXQLWSd3GVybYhnwR,Male,,
11288937,👤 Euamerion,Agent,Euamerion,,personification of recovery,,,,,,,,,,,,,,,,,,,,Q16332133,,,Telesphoros,haKWTQVXQLWSd3GVybYhnwR,Male,,
8188519,👤 Hippomenes (h. of Atalante),Agent,Hippomenes,(h. of Atalante),husband of Atalante,,,,,,,,,,,,,,,,,,,,Q1455747,,https://www.trismegistos.org/name/49189,Hippomedon,uHUiDxA1TluZo45RgAj2Fgx,Male,,
8190090,👤 Teucros (s. of Scamandros),Agent,Teucros,(s. of Scamandros),son of Scamandros and Idaia,,,,,,,,,,,,,,,,,,,,Q1513788,,https://www.trismegistos.org/name/6213,Teukros I,X8_tZooyRjyK4pv6vSO8Sgg,Male,,
11310685,👤 Silvanus,Agent,Silvanus,,Roman god of forests,,,,,,,,,,,,,,,,,,,,Q548445,,https://www.trismegistos.org/name/7637,Silvanus,CEtvlqs7RAGHGhapF1Bt_Q4,Male,,
11296343,👤 Sabazios,Agent,Sabazios,,Phrygian god often associated with Dionysos or Zeus,,,,,,,,,,,,,,,,,,,,Q1361319,,,Sabazios,eyPr_bWxQcSOOaplS2w=oQP,Male,,
11311711,👤 Romulus,Agent,Romulus,,founder of Rome,,,,,,,,,,,,,,,,,,,,Q2186,,https://www.trismegistos.org/name/11884,Romulus,2zsvGQ9LRvuFpUEtWInklQH,Male,,
11311712,👤 Remus,Agent,Remus,,brother of Romulus,,,,,,,,,,,,,,,,,,,,Q1242632,,,Remus,Q3pIxEZbTQ61wtx7kyLyfgD,Male,,
11311708,👤 Rhea Silvia,Agent,Rhea Silvia,,mother of Romulus and Remus,,,,,Ilia,,,,,,,,,,,,,,,Q219936,,,Rea Silvia,kX8GpudBRauw8XumV7TXlwa,Female,,
11311708,👤 Rhea Silvia,Agent,Rhea Silvia,,mother of Romulus and Remus,,,,,Rea Silva,,,,,,,,,,,,,,,Q219936,,,Rea Silvia,kX8GpudBRauw8XumV7TXlwa,Female,,
11312086,👤 Psyche,Agent,Psyche,,personification of the soul,,,,,,,,,,,,,,,,,,,,Q843382,,,Psyche,Z4sd76Y_Qe=9NmO=XAGJwQy,Female,,
8189096,👤 Palaimon (god),Agent,Palaimon,(god),divine identity of Melicertes,,,,Portunus,,,,,,,,,,,,,,,,Q2046854,,https://www.trismegistos.org/name/4806,,18dry9nrSZCk5QGHrjD4pQR,Male,,
8189096,👤 Palaimon (god),Agent,Palaimon,(god),divine identity of Melicertes,,,,Portunus,,,,,,,,,,,,,,,,Q2046854,,https://www.trismegistos.org/name/4806,,VBN8uz2UQES8qTtHempKlQ7,Male,,
8189096,👤 Palaimon (god),Agent,Palaimon,(god),divine identity of Melicertes,,,,Portunus,,,,,,,,,,,,,,,,Q1570477,,https://www.trismegistos.org/name/4806,,18dry9nrSZCk5QGHrjD4pQR,Male,,
8189096,👤 Palaimon (god),Agent,Palaimon,(god),divine identity of Melicertes,,,,Portunus,,,,,,,,,,,,,,,,Q1570477,,https://www.trismegistos.org/name/4806,,VBN8uz2UQES8qTtHempKlQ7,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Dis,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q41410,,,,9UmPRg3dRWKUgIO_dp1Fgwg,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Dis,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q41410,,,,cB20WKGeSsC501sdFJalFww,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Dis,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q152262,,,,9UmPRg3dRWKUgIO_dp1Fgwg,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Dis,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q152262,,,,cB20WKGeSsC501sdFJalFww,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Aidoneus,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q41410,,,,9UmPRg3dRWKUgIO_dp1Fgwg,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Aidoneus,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q41410,,,,cB20WKGeSsC501sdFJalFww,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Aidoneus,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q152262,,,,9UmPRg3dRWKUgIO_dp1Fgwg,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Aidoneus,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q152262,,,,cB20WKGeSsC501sdFJalFww,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Pluton,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q41410,,,,9UmPRg3dRWKUgIO_dp1Fgwg,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Pluton,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q41410,,,,cB20WKGeSsC501sdFJalFww,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Pluton,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q152262,,,,9UmPRg3dRWKUgIO_dp1Fgwg,Male,,
8188404,👤 Hades,Agent,Hades,,Underworld god,,,,,Pluton,,,,,,,,,👤 Aidoneus (rat. Hades),10150526,,,,,Q152262,,,,cB20WKGeSsC501sdFJalFww,Male,,
8189234,👤 Philoitios,Agent,Philoitios,,slave of Odysseus,,,,,,,,,,,,,,,,,,,,Q2277624,,,Philoitios,wyWWfKyOQ2uDG20=10GDSAg,Male,,
11297468,👤 Osiris,Agent,Osiris,,Egyptian god,,,,,,,,,,,,,,,,,,,,Q46491,,https://www.trismegistos.org/name/22711,Osiris,guAiOA6aR86k32kqeJE6jw9,Male,,
8187870,👤 Athena,Agent,Athena,,Olympian goddess,,,,Minerva,Pallas,,,,,,,,,,,,,,,Q37122,athena,https://www.trismegistos.org/name/2163,Athena,ukyLk2_1QIeJRvf3DgcR0gm,Female,,
8187870,👤 Athena,Agent,Athena,,Olympian goddess,,,,Minerva,Pallas,,,,,,,,,,,,,,,Q37122,athena,https://www.trismegistos.org/name/2163,Athena,qK1zj_1TSOSj3t1MYKnA3wl,Female,,
8187870,👤 Athena,Agent,Athena,,Olympian goddess,,,,Minerva,Pallas,,,,,,,,,,,,,,,Q37122,athena,https://www.trismegistos.org/name/2163,Minerva,ukyLk2_1QIeJRvf3DgcR0gm,Female,,
8187870,👤 Athena,Agent,Athena,,Olympian goddess,,,,Minerva,Pallas,,,,,,,,,,,,,,,Q37122,athena,https://www.trismegistos.org/name/2163,Minerva,qK1zj_1TSOSj3t1MYKnA3wl,Female,,
8187870,👤 Athena,Agent,Athena,,Olympian goddess,,,,Minerva,Pallas,,,,,,,,,,,,,,,Q126916,athena,https://www.trismegistos.org/name/2163,Athena,ukyLk2_1QIeJRvf3DgcR0gm,Female,,
8187870,👤 Athena,Agent,Athena,,Olympian goddess,,,,Minerva,Pallas,,,,,,,,,,,,,,,Q126916,athena,https://www.trismegistos.org/name/2163,Athena,qK1zj_1TSOSj3t1MYKnA3wl,Female,,
8187870,👤 Athena,Agent,Athena,,Olympian goddess,,,,Minerva,Pallas,,,,,,,,,,,,,,,Q126916,athena,https://www.trismegistos.org/name/2163,Minerva,ukyLk2_1QIeJRvf3DgcR0gm,Female,,
8187870,👤 Athena,Agent,Athena,,Olympian goddess,,,,Minerva,Pallas,,,,,,,,,,,,,,,Q126916,athena,https://www.trismegistos.org/name/2163,Minerva,qK1zj_1TSOSj3t1MYKnA3wl,Female,,
11297453,👤 Milqart,Agent,Milqart,,Tyrian god associated with Heracles,,,,,Melqart,,,,,,,,,,,,,,,Q843408,,,Melqart,C7KlrC2PREe7Cnr_rzZ4qAd,Male,,
